XLSX,XLSM,PDF,DWG,SCANNED,DRAWING NAME,Rev,DIA,DIA_1,FACE,FACE_1,BEARINGMAX,BEARINGMIN,STEPS,OEM,TYPE,CUST,OriginatingCustomer,CUSTPN,CUSTREV,NEWBASEPRICE,Date,SUBCONTRACTOR,PRODUCTCODE,PREVPARTNo,DATECREATED,PartNo
#N/A,#N/A,#N/A,M90100.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90100.dwg#,#N/A,M90100,B,4.1445,4.144,25.787,25.78,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"25""",,PCMC,,*,,6-Apr-00,,M,,15-Apr-10,M90100
#N/A,#N/A,#N/A,M90101.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90101.dwg#,#N/A,M90101,A,5.143,5.143,35.063,35.06,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"35""",,ROSSINI,,*,$0.00 ,6-Apr-00,,M,MANDREL2,6-Apr-00,M90101
#N/A,#N/A,#N/A,M90102.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90102.dwg#,#N/A,M90102,A,4.1445,4.144,34.25,34.25,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,VENTURA,,W & H,,*,$0.00 ,6-Apr-00,,M,MANDREL3,6-Apr-00,M90102
#N/A,#N/A,#N/A,M90103.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90103.dwg#,#N/A,M90103,*,2.750 / 3.000,2.75,39.031,39.03,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"PCMC VISION II 37"" WEB",,PCMC,0620026-103-0-0,*,$0.00 ,6-Apr-00,,M,MANDREL4,6-Apr-00,M90103
#N/A,#N/A,#N/A,M90104.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90104.dwg#,#N/A,M90104,A,2.750 / 3.000,2.75,41.906,41.9,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"PCMC VISION II 37"" WEB",,PCMC,,*,$0.00 ,6-Apr-00,,M,MANDREL6,6-Apr-00,M90104
#N/A,#N/A,#N/A,M90105.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90105.dwg#,#N/A,M90105,*,2.750 / 3.000,2.75,37.906,37.9,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"PCMC VISION II 41"" WEB",,PCMC,,*,$0.00 ,6-Apr-00,,M,MANDREL5,6-Apr-00,M90105
#N/A,#N/A,#N/A,M90106.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90106.dwg#,#N/A,M90106,*,2.751 / 3.001,2.751,41.906,41.9,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"PCMC VISION II 41"" WEB - THREADED",,PCMC,,*,$0.00 ,6-Apr-00,,M,MANDREL7-THD,6-Apr-00,M90106
#N/A,#N/A,#N/A,M90107.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90107.dwg#,#N/A,M90107,*,5.143,5.143,34.938,34.93,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"ROSSINI 35""",,ROSSINI,,*,$0.00 ,6-Apr-00,,M,MANDREL8,6-Apr-00,M90107
#N/A,#N/A,#N/A,M90108.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90108.dwg#,#N/A,M90108,A,4.516,4.516,38.969,38.96,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"COMEXI 39""",,COMEXI,,*,$0.00 ,6-Apr-00,,M,MANDREL9,6-Apr-00,M90108
#N/A,#N/A,#N/A,M90109.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90109.dwg#,#N/A,M90109,*,4.517,4.517,34.646,34.64,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"UTECO 34""",,UTECO,,*,$0.00 ,6-Apr-00,,M,MANDREL10,6-Apr-00,M90109
#N/A,#N/A,#N/A,M90110.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90110.dwg#,#N/A,M90110,A,4.768,4.768,48.819,48.81,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"FLEXOTECNICA 48""",,FLEXOTECNICA,37309,*,$0.00 ,6-Apr-00,,M,MANDREL11,6-Apr-00,M90110
#N/A,#N/A,#N/A,M90111.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90111.dwg#,#N/A,M90111,*,4.141,4.141,42.363,42.36,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"W & H 42""",,W & H,,*,$0.00 ,6-Apr-00,,M,MANDREL12,6-Apr-00,M90111
#N/A,#N/A,#N/A,M90112.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90112.dwg#,#N/A,M90112,*,5.019,5.019,50.787,50.78,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"COMEXI 50""",,COMEXI,,*,$0.00 ,6-Apr-00,,M,MANDREL13,6-Apr-00,M90112
#N/A,#N/A,#N/A,M90113.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90113.dwg#,#N/A,M90113,*,3.188,3.188,6.562,6.562,COLLAR,COLLAR,0,HARPER CORPORATION OF AMERICA,PCMC VISION I MANDREL COLLAR,,PCMC,,*,$0.00 ,6-Apr-00,,M,COLLAR-V1L,6-Apr-00,M90113
#N/A,#N/A,#N/A,M90114.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90114.dwg#,#N/A,M90114,A,3.188,3.188,4.438,4.438,COLLAR,COLLAR,0,HARPER CORPORATION OF AMERICA,PCMC VISION I MANDREL COLLAR,,PCMC,,*,$0.00 ,6-Apr-00,,M,COLLAR-V1S,6-Apr-00,M90114
#N/A,#N/A,#N/A,M90115.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90115.dwg#,#N/A,M90115,*,3.965,3.965,2.5,2.5,COLLAR,COLLAR,0,HARPER CORPORATION OF AMERICA,PCMC VISION II MANDREL COLLAR,,PCMC,,*,$0.00 ,6-Apr-00,,M,COLLAR-V2,6-Apr-00,M90115
#N/A,#N/A,#N/A,M90116.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90116.dwg#,#N/A,M90116,*,3.965,3.965,2.5,2.5,COLLAR,COLLAR,0,HARPER CORPORATION OF AMERICA,PCMC VISION II MANDREL COLLAR,,PCMC,,*,$0.00 ,6-Apr-00,,M,COLLAR-V2THD,6-Apr-00,M90116
#N/A,#N/A,#N/A,M90117.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90117.dwg#,#N/A,M90117,*,4,4,4,4,COLLAR,COLLAR,0,HARPER CORPORATION OF AMERICA,PCMC VISION II MANDREL SLEEVE,,PCMC,,*,$0.00 ,6-Apr-00,,M,MANDREL-SLEEVE,6-Apr-00,M90117
#N/A,#N/A,#N/A,M90118.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90118.dwg#,#N/A,M90118,*,5.5,5.5,3.937,3.937,4.771 SPACER SLEEVE,4.770 SPACER SLEEVE,0,HARPER CORPORATION OF AMERICA,FLEXOTECNICA MANDREL SPACER SLEEVE,,FLEXOTECNICA,,*,$0.00 ,6-Apr-00,,M,MANDREL-SLEEVE II,6-Apr-00,M90118
#N/A,#N/A,#N/A,M90119.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90119.dwg#,#N/A,M90119,*,2.305,2.305,2.562,2.562,PLUG,PLUG,0,HARPER CORPORATION OF AMERICA,VISION I PLUG LONG JOURNAL,,PCMC,,*,$0.00 ,6-Apr-00,,M,PLUG-V1L,6-Apr-00,M90119
#N/A,#N/A,#N/A,M90120.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90120.dwg#,#N/A,M90120,*,2.31,2.31,3.776,3.776,PLUG,PLUG,0,HARPER CORPORATION OF AMERICA,VISION I PLUG SHORT JOURNAL,,PCMC,,*,$0.00 ,6-Apr-00,,M,PLUG-V1S,6-Apr-00,M90120
#N/A,#N/A,#N/A,M90121.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90121.dwg#,#N/A,M90121,A,3.000/2.750,3,38/42,38/42,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,VISION II,,PCMC,,*,$0.00 ,12-Apr-00,,M,M90103,12-Apr-00,M90121
#N/A,#N/A,#N/A,M90122.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90122.dwg#,#N/A,M90122,A,5.143,5.143,50.394,50.39,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"50"" SCHIAVI",,SCHIAVI,,*,$0.00 ,25-May-00,,M,,25-May-00,M90122
#N/A,#N/A,#N/A,M90123.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90123.dwg#,#N/A,M90123,A,5.646,5.646,56.299,56.29,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,FISCHER & KRECKE,,FISCHER & KRECKE,16DF 146.011.001-010,*,$0.00 ,30-Jun-00,,M,,30-Jun-00,M90123
#N/A,#N/A,#N/A,M90124.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90124.dwg#,#N/A,M90124,A,1.534,1.534,28.675,28.67,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,FLEXO GRAVURE 650,,COMPACK,,*,$0.00 ,9-Aug-00,,M,,10-Aug-00,M90124
#N/A,#N/A,#N/A,M90125.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90125.dwg#,#N/A,M90125,*,5.154,5.154,41.732,41.73,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"41"" BIELLONI",,BIELLONI,,*,$0.00 ,25-Oct-00,,M,,3-Nov-00,M90125
#N/A,#N/A,#N/A,M90126.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90126.dwg#,#N/A,M90126,*,5.7693,5.769,A,A,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,VALMET,,VALMET,CAS0022460,*,$0.00 ,3-Nov-00,,M,,3-Nov-00,M90126
#N/A,#N/A,#N/A,M90127.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90127.dwg#,#N/A,M90127,*,6.25,6.25,3.937,3.937,5.773 SPACER SLEEVE,5.772 SPACER SLEEVE,0,HARPER CORPORATION OF AMERICA,VALMET MANDREL SPACER SLEEVE,,VALMET,,*,$0.00 ,3-Nov-00,,M,,6-Nov-00,M90127
#N/A,#N/A,#N/A,M90128.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90128.dwg#,#N/A,M90128,*,4.7667,4.766,42,42,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,PCMC VISION MAX,,PCMC,,*,$0.00 ,25-Jan-01,,M,,30-Jan-01,M90128
#N/A,#N/A,#N/A,M90129.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90129.dwg#,#N/A,M90129,*,5.393,5.393,60.866,60.86,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,W & H,,W & H,,*,$0.00 ,2-Mar-01,,M,,5-Mar-01,M90129
#N/A,#N/A,#N/A,M90130.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90130.dwg#,#N/A,M90130,A,5.143,5.143,54.331,54.33,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,UTECO EMERALD,,UTECO,,*,$0.00 ,5-Mar-01,,M,,5-Mar-01,M90130
#N/A,#N/A,#N/A,M90131.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90131.dwg#,#N/A,M90131,B,6.387,6.387,34.646,34.64,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"UTECO 34""",,UTECO,PO,*,$0.00 ,27-Jan-03,,M,,27-Jan-03,M90131
#N/A,#N/A,#N/A,M90132.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90132.dwg#,#N/A,M90132,*,4.14,4.14,49.213,49.21,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"42"" KUEN YUK",,KUEN YUK,,*,$0.00 ,11-Jun-00,,M,,11-Jun-01,M90132
#N/A,#N/A,#N/A,M90133.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90133.dwg#,#N/A,M90133,*,4.7667,4.766,59.75,59.75,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,PCMC INFINITI,,PCMC,0153645-001-0,*,$0.00 ,20-Jul-01,,M,,20-Jul-01,M90133
#N/A,#N/A,#N/A,M90134.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90134.dwg#,#N/A,M90134,*,6.125,6.125,3.937,3.937,5.650 SPACER SLEEVE,5.648 SPACER SLEEVE,0,HARPER CORPORATION OF AMERICA,F & K MANDREL SPACER SLEEVE,,FISCHER & KRECKE,16DF 146.011.001-010,*,$0.00 ,14-Aug-01,,M,,14-Aug-01,M90134
#N/A,#N/A,#N/A,M90135.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90135.dwg#,#N/A,M90135,*,6.772,6.772,68.11,68.11,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,FISCHER & KRECKE,,FISCHER & KRECKE,16DF 146.011.011-004,*,$0.00 ,18-Oct-01,,M,,18-Oct-01,M90135
#N/A,#N/A,#N/A,M90136.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90136.dwg#,#N/A,M90136,*,7.25,7.25,3.937,3.937,6.775 SPACER SLEEVE,6.774 SPACER SLEEVE,0,HARPER CORPORATION OF AMERICA,F & K MANDREL SPACER SLEEVE,,FISCHER & KRECKE,16DF 146.011.011-010,*,,18-Oct-01,,M,,18-Oct-01,M90136
#N/A,#N/A,#N/A,M90137.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90137.dwg#,#N/A,M90137,*,5.75,5.75,3.937,3.937,5.146 SPACER SLEEVE,5.142 SPACER SLEEVE,0,HARPER CORPORATION OF AMERICA,UTECO EMERALD SPACER SLEEVE,,UTECO,29796,*,$0.00 ,10-Jan-02,,M,,10-Jan-02,M90137
#N/A,#N/A,#N/A,M90138.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90138.dwg#,#N/A,M90138,*,4.141,4.141,34.252,34.25,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"34"" W & H",,W & H,,*,$0.00 ,14-Feb-02,,M,,14-Feb-02,M90138
#N/A,#N/A,#N/A,M90139.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90139.dwg#,#N/A,M90139,*,4.517,4.517,50.394,50.39,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,UTECO EMERALD,,UTECO,PO,*,$0.00 ,8-Mar-02,,M,,8-Mar-02,M90139
#N/A,#N/A,#N/A,M90140.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90140.dwg#,#N/A,M90140,*,5.25,5.25,3.937,3.937,4.520 SPACER SLEEVE,4.519 SPACER SLEEVE,0,HARPER CORPORATION OF AMERICA,UTECO EMERALD SPACER SLEEVE,,UTECO,,*,$0.00 ,8-Mar-02,,M,,8-Mar-02,M90140
#N/A,#N/A,#N/A,M90141.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90141.dwg#,#N/A,M90141,*,7.273,7.273,61.417,61.41,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"61"" BHS",,BHS,A 22 703 00,A2,$0.00 ,2-Apr-02,,M,,2-Apr-02,M90141
#N/A,#N/A,#N/A,M90142.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90142.dwg#,#N/A,M90142,*,7.75,7.75,3.937,3.937,7.276 SPACER SLEEVE,7.275 SPACER SLEEVE,0,HARPER CORPORATION OF AMERICA,BHS SPACER SLEEVE,,BHS,A 22 703 00,A2,$0.00 ,17-Apr-02,,M,,17-Apr-02,M90142
#N/A,#N/A,#N/A,M90143.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90143.dwg#,#N/A,M90143,*,6,6,A,A,5.396 SPACER SLEEVE,5.395 SPACER SLEEVE,0,HARPER CORPORATION OF AMERICA,W & H SPACER SLEEVE,,W & H,,*,$0.00 ,17-Apr-02,,M,,17-Apr-02,M90143
#N/A,#N/A,#N/A,M90144.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90144.dwg#,#N/A,M90144,A,5.896,5.896,64.567,64.56,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,FLEXOTECNICA TACHYS-GEARLESS 8 GRAN FORMATO,,FLEXOTECNICA,344594,*,$0.00 ,22-May-02,,M,,22-May-02,M90144
#N/A,#N/A,#N/A,M90145.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90145.dwg#,#N/A,M90145,*,6.375,6.375,3.937,3.937,5.898 SPACER SLEEVE,5.897 SPACER SLEEVE,0,HARPER CORPORATION OF AMERICA,FLEXOTECNICA SPACER SLEEVE,,FLEXOTECNICA,344594,*,$0.00 ,22-May-02,,M,,22-May-02,M90145
#N/A,#N/A,#N/A,M90146.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90146.dwg#,#N/A,M90146,*,5.25,5.25,3.5,3.5,4.773 SPACER SLEEVE,4.772 SPACER SLEEVE,0,HARPER CORPORATION OF AMERICA,PCMC INFINITI,,PCMC,PO,*,$0.00 ,7-Jun-02,,M,,7-Jun-02,M90146
#N/A,#N/A,#N/A,M90147.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90147.dwg#,#N/A,M90147,*,6.146,6.146,68.504,68.5,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,COMEXI - FJ-2108,,COMEXI,91401,*,$0.00 ,11-Nov-02,,M,,11-Nov-02,M90147
#N/A,#N/A,#N/A,M90148.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90148.dwg#,#N/A,M90148,A,6.625,6.625,A,A,6.150 SPACER SLEEVE,6.152 SPACER SLEEVE,0,HARPER CORPORATION OF AMERICA,COMEXI - FJ-2108 SPACER SLEEVE,,COMEXI,91401,*,$0.00 ,11-Nov-02,,M,,11-Nov-02,M90148
#N/A,#N/A,#N/A,M90149.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90149.dwg#,#N/A,M90149,*,6.396,6.396,57.48,57.48,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,BIELLOFLEX TONEMA,,BIELLONI,AG.34.11.01,*,$0.00 ,28-Feb-03,,M,,28-Feb-03,M90149
#N/A,#N/A,#N/A,M90150.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90150.dwg#,#N/A,M90150,*,6.875,6.875,3.937,3.937,6.402 SPACER SLEEVE,6.400 SPACER SLEEVE,0,HARPER CORPORATION OF AMERICA,BIELLOFLEX TONEMA SPACER SLEEVE,,BIELLONI,AG.34.11.01,*,$0.00 ,28-Feb-03,,M,,28-Feb-03,M90150
#N/A,#N/A,#N/A,M90151.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90151.dwg#,#N/A,M90151,*,1.1869,1.186,10.625,10.62,0.84,0.8395,2,HARPER CORPORATION OF AMERICA,WEBTRON/PCMC X-10,,WEBTRON/PCMC,PO,*,$0.00 ,6-May-03,,M,,6-May-03,M90151
#N/A,#N/A,#N/A,M90152.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90152.dwg#,#N/A,M90152,A,1.1873,1.187,6.75,6.75,1.1869,1.1867,3,HARPER CORPORATION OF AMERICA,WEBTRON 650/750,,HARPER CORPORATION OF AMERICA,PO,*,$0.00 ,10-Dec-03,,M,,10-Dec-03,M90152
#N/A,#N/A,#N/A,M90153.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90153.dwg#,#N/A,M90153,*,3.636 TAPER,3.636,40.5,40.5,2.25,2.2495,3,HARPER CORPORATION OF AMERICA,SULLIVAN PAPER,,HARPER CORPORATION OF AMERICA,PO,*,,15-Dec-03,,M,,1-Apr-04,M90153
#N/A,#N/A,#N/A,M90154.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90154.dwg#,#N/A,M90154,*,1.1866,1.186,7,7,1.1866,1.1864,2,HARPER CORPORATION OF AMERICA,WEBTRON 650/750 INSPECTION SHAFT,,HARPER CORPORATION OF AMERICA,PO,*,$0.00 ,1-Apr-04,,M,,1-Apr-04,M90154
#N/A,#N/A,#N/A,M90155.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90155.dwg#,#N/A,M90155,*,3.012,3.012,31.969,31.96,2.5005,2.4995,2,HARPER CORPORATION OF AMERICA,"31"" MEULLER MARTIN",,ASHTON-POTTER,2129.1274.3,*,,5-May-04,,M,,6-May-04,M90155
#N/A,#N/A,#N/A,M90156.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90156.dwg#,#N/A,M90156,*,3.6388,3.638,36.024,36.02,2.5005,2.4995,2,HARPER CORPORATION OF AMERICA,"36"" DRENT GRAPHICS",,DRENT GRAPHICS,1-005642.000,*,,7-Jul-05,,M,,19-Aug-05,M90156
#N/A,#N/A,#N/A,M90157.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90157.dwg#,#N/A,M90157,*,5.645,5.645,58.268,58.26,2.5005,2.4995,2,HARPER CORPORATION OF AMERICA,"58"" LALLY PAK",,LALLY PAK,PO,*,,30-Sep-05,,M,,5-Oct-05,M90157
#N/A,#N/A,#N/A,M90158.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90158.dwg#,#N/A,M90158,*,6.0199,6.019,89.37,89.37,2.5005,2.4995,2,HARPER CORPORATION OF AMERICA,PCMC 2200 INFINITI,,PCMC,PO,*,,5-Oct-05,,M,,11-Oct-05,M90158
#N/A,#N/A,#N/A,M90159.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90159.dwg#,#N/A,M90159,*,4.7667,4.766,67.75,67.75,2.5,2.5,2,HARPER CORPORATION OF AMERICA,"PCMC 65"" INFINITI",,PCMC,PO,*,,16-Dec-05,,M,,16-Dec-05,M90159
#N/A,#N/A,#N/A,M90160.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90160.dwg#,#N/A,M90160,*,4.7667,4.766,52.75,52.75,2.5,2.5,2,HARPER CORPORATION OF AMERICA,"PCMC 52""",,PCMC,PO,*,,6-Jan-06,,M,,6-Jan-06,M90160
#N/A,#N/A,#N/A,M90161.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90161.dwg#,#N/A,M90161,*,5.393,5.393,52.992,52.99,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,W & H,,NORTH STATES FLEXIBLES,PO,*,$0.00 ,16-Feb-06,,M,,17-Feb-06,M90161
#N/A,#N/A,#N/A,M90162.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90162.dwg#,#N/A,M90162,*,7.0224,7.022,60.236,60.23,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,W & H,,"CELLO PAK, NY",PO,*,$0.00 ,20-Jun-06,,M,,29-Jun-06,M90162
#N/A,#N/A,#N/A,M90163.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90163.dwg#,#N/A,M90163,A,5.1426,5.142,62.205,62.2,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"62"" UTECO EMERALD",,,PO,*,$0.00 ,27-Jun-06,,M,,29-Jun-06,M90163
#N/A,#N/A,#N/A,M90164.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90164.dwg#,#N/A,M90164,*,5.8946,5.894,65.748,65.74,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,FLEXOTECNICA TACHYS 6-10,,,PO,*,,25-Jul-06,,M,,25-Jul-06,M90164
#N/A,#N/A,#N/A,M90165.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90165.dwg#,#N/A,M90165,A,6.3958,6.395,70.079,70.07,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,APEX,,,PA01409.XX.XX,*,,9-Nov-06,,M,,9-Nov-06,M90165
#N/A,#N/A,#N/A,M90166.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90166.dwg#,#N/A,M90166,*,6.6465,6.646,54.724,54.72,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,KOCHSIEK,,,0471.06.02.82-002,*,,16-Apr-07,,M,,18-Apr-07,M90166
#N/A,#N/A,#N/A,M90167.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90167.dwg#,#N/A,M90167,*,7.649,7.649,66.535,66.53,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,COMEXI,,BURROWS PAPER,SP 13,*,,18-Sep-07,,M,,18-Sep-07,M90167
#N/A,#N/A,#N/A,M90168.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90168.dwg#,#N/A,M90168,*,2.756,2.756,49.5,49.5,MANDREL,MANDREL,3,FISCHER & KRECKE,P-7 COLD SEAL,PRINT PACK,PRINT PACK,PO,*,,24-Jan-08,,M,,31-Jan-08,M90168
#N/A,#N/A,#N/A,M90168A.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90168A.dwg#,#N/A,M90168A,*,3.622,3.622,3.5,3.5,2.758 BORE,2.756 BORE,0,FISCHER & KRECKE,P-7 COLD SEAL,PRINT PACK,PRINT PACK,PO,*,,16-Jan-08,,M,,31-Jan-08,M90168A
#N/A,#N/A,#N/A,M90168B.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90168B.dwg#,#N/A,M90168B,*,3.622,3.622,4.5,4.5,2.758 BORE,2.756 BORE,0,FISCHER & KRECKE,P-7 COLD SEAL,PRINT PACK,PRINT PACK,PO,*,,24-Jan-08,,M,,31-Jan-08,M90168B
#N/A,#N/A,#N/A,M90169.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90169.dwg#,#N/A,M90169,*,6.0199,6.019,67.75,67.75,2.5005,2.4995,2,HARPER CORPORATION OF AMERICA,"PCMC 65"" INFINITI",,PCMC,PO,*,,29-Apr-08,,M,,29-Apr-08,M90169
#N/A,#N/A,#N/A,M90170.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90170.dwg#,#N/A,M90170,*,3.639,3.639,35.669,35.66,1.7502,1.7498,2,HARPER CORPORATION OF AMERICA,DRENT MODEL 850,,DRENT GOEBEL,1-200-005380,00,,16-Jul-08,,M,,10-Dec-08,M90170
#N/A,#N/A,#N/A,M90171.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90171.dwg#,#N/A,M90171,*,2.756,2.756,61.811,61.81,2.5005,2.4995,2,HARPER CORPORATION OF AMERICA,COLD SEAL,,NORDMECCANICA,,*,,19-Feb-09,,M,,15-Sep-10,M90171
